-150,-145
-150,30
-145,25
-145,20
-145,45
-145,50
-140,45
-140,50
-135,-10
-135,5
-135,10
-130,5
-130,10
-135,25
-135,-35
-130,-135
-130,-75
-130,-50
-125,-65
-125,20
-125,-150
-125,85
-115,130
-120,130
-125,130
-115,135
-120,135
-125,135
-125,-70
-120,-70
-115,-70
-120,-25
-115,-45
-115,-100
-115,-65
-115,-30
-110,-45
-105,130
-105,135
-110,130
-110,135
-110,-65
-110,20
-110,-95
-105,-95
-105,-90
-105,-25
-105,-45
-105,20
-105,140
-100,140
-100,130
-100,135
-105,-100
-100,-95
-100,-100
-100,125
-100,-60
-95,-60
-95,-20
-95,105
-90,105
-95,100
-90,100
-95,55
-95,60
-90,55
-90,60
-90,-85
-85,-85
-85,-120
-85,-35
-85,-30
-85,110
-85,115
-85,120
-85,-110
-80,110
-80,115
-80,-55
-75,115
-75,110
-80,-15
-75,-100
-70,-15
-75,-15
-75,-30
-70,115
-70,0
-70,-140
-70,35
-65,-130
-65,-40
-65,-35
-60,-40
-60,-35
-65,-15
-65,35
-60,0
-60,5
-60,10
-60,130
-60,-110
-60,-45
-55,-40
-55,-35
-60,-25
-55,0
-55,5
-55,10
-60,85
-55,85
-60,80
-55,80
-55,-135
-55,45
-55,75
-55,-125
-50,-40
-50,-35
-55,30
-55,-85
-55,-80
-55,-15
-55,35
-55,135
-50,135
-55,130
-50,130
-50,-110
-50,-105
-50,75
-45,75
-50,-20
-45,-20
-50,35
-45,35
-45,65
-45,-130
-45,-115
-45,-50
-45,40
-45,70
-40,110
-40,125
-40,130
-40,0
-40,-60
-40,65
-40,70
-35,70
-35,65
-40,75
-35,-65
-35,-60
-30,-60
-35,-55
-35,-35
-35,-105
-35,-100
-30,-115
-30,15
-30,45
-30,-110
-30,-105
-30,140
-30,-25
-30,55
-30,60
-25,55
-25,60
-30,75
-25,75
-30,90
-30,-45
-25,-45
-25,20
-20,20
-25,-125
-25,80
-25,90
-25,-115
-25,15
-20,75
-25,-140
-20,-140
-20,-130
-20,-110
-20,-115
-15,-110
-15,-115
-20,-135
-20,145
-20,-60
-20,45
-20,50
-20,55
-15,-145
-15,-20
-15,50
-15,55
-15,45
-15,105
-10,105
-5,105
-15,100
-5,100
-10,100
-15,95
-10,95
-5,95
-15,150
-10,150
-15,145
-10,145
-15,-55
-10,-130
-5,-125
-5,-60
-5,-105
0,40
0,145
5,20
5,15
0,20
0,15
5,-120
5,-145
5,-35
10,-35
10,-95
10,-45
10,70
10,-130
15,75
15,85
15,80
20,85
20,80
20,75
25,85
25,80
25,75
30,80
15,-145
15,-90
15,-85
20,70
15,70
15,-65
20,-65
20,-125
20,-90
20,-85
20,110
20,115
