-142,72;-146,71;-141,71;-149,70;-142,68;-139,68;-145,66;-148,65;-145,65;-142,65;-144,64;-145,72;-141,72;-150,70;-150,69;-145,67;-140,72;-139,72;-139,70;-146,66;-140,65;-147,64;-146,64;-140,64;-149,72;-146,72;-143,71;-140,71;-148,70;-146,70;-149,64;-148,69;-143,69;-147,68;-140,68;-147,67;-147,66;-141,65;-148,72;-143,72;-150,71;-140,70;-146,69;-139,69;-143,67;-141,66;-146,65;-147,70;-145,69;-140,66;-141,64;-147,71;-145,71;-139,66;-150,65;-144,65;-147,72;-142,71;-143,68;-150,66;-148,66;-150,64;-144,69;-140,69;-150,67;-142,69;-150,68;-144,68;-141,68;-149,66;-139,65;-145,64;-142,64;-139,64;-144,72;-146,67;-142,67;-140,67;-142,66;-148,64;-143,64;-150,72;-141,70;-149,69;-147,69;-144,67;-149,65;-149,71;-148,71;-144,71;-145,70;-148,67;-141,67;-139,67;-144,66;-143,66;-147,65;-144,70;-142,70;-148,68;-146,68;-149,67;-139,71;-143,70;-141,69;-149,68;-145,68;-143,65
-149,126;-149,129;-149,130;-149,128;-149,127;-150,130;-150,126;-150,127;-150,128;-150,129
-148,116
-147,120
-140,-8;-140,-7
-139,-8
-136,-33;-136,-34
-131,-117;-130,-118;-130,-116;-129,-116;-127,-118;-127,-112;-124,-113;-129,-114;-131,-115;-127,-115;-125,-115;-125,-118;-124,-118;-130,-117;-126,-117;-126,-118;-130,-112;-130,-113;-130,-114;-126,-115;-128,-117;-125,-113;-129,-115;-124,-115;-131,-111;-128,-112;-126,-112;-131,-116;-128,-118;-129,-113;-131,-114;-127,-114;-127,-116;-125,-116;-131,-118;-130,-111;-125,-112;-131,-113;-126,-116;-129,-117;-127,-117;-128,-111;-129,-112;-128,-113;-126,-113;-124,-116;-129,-111;-128,-114;-128,-115;-129,-118;-126,-111;-128,-116;-124,-117;-124,-111;-124,-112;-126,-114;-125,-114;-130,-115;-125,-117;-127,-111;-125,-111;-131,-112;-127,-113;-124,-114
-128,9;-129,9;-129,10;-128,10
-128,-45
-116,132;-121,134;-115,135;-122,135;-119,132;-117,134;-120,134;-119,137;-118,132;-120,132;-117,135;-120,136;-117,132;-121,133;-124,134;-119,136;-122,137;-118,133;-122,134;-117,136;-122,132;-123,132;-117,133;-123,133;-119,135;-116,134;-118,134;-117,137;-121,137;-121,132;-115,132;-116,133;-124,135;-118,136;-119,133;-122,133;-124,133;-122,136;-120,137;-120,133;-121,135;-123,134;-124,132;-115,134;-120,135;-121,136;-118,137;-118,135;-119,134;-123,135;-115,133;-116,135
-123,148;-121,149;-123,147;-120,146;-124,148;-123,149;-124,146;-123,144;-122,146;-120,148;-124,149;-122,145;-121,144;-121,145;-120,149;-122,148;-121,148;-120,144;-124,150;-121,146;-124,147;-123,146;-120,147;-122,147;-121,147;-123,145;-122,149;-122,144;-124,145;-120,145;-124,144;-123,150;-121,150;-122,150;-120,150;-119,144;-118,144;-118,149;-118,148;-118,146;-119,145;-119,148;-119,150;-119,146;-118,147;-119,149;-118,145;-118,150;-119,147
-123,143;-123,141;-123,140;-123,142;-122,140;-122,141;-122,142;-120,140;-121,142;-121,143;-122,143;-121,140;-121,141;-120,141;-120,143;-120,142
-119,21
-115,-16;-115,-15;-115,-18;-115,-19;-115,-17;-114,-15;-114,-18;-114,-16;-114,-19;-114,-17;-113,-15;-112,-16;-112,-15;-112,-17;-113,-16;-111,-17;-112,-18;-113,-19;-113,-17;-112,-19;-113,-18;-111,-19;-111,-18
-115,-63;-114,-63
-114,-107;-114,-108;-113,-107;-113,-108;-112,-108;-112,-107
-113,-38;-113,-36;-113,-37
-95,63
-81,88
-81,86
-81,69
-81,64
-101,90;-102,90;-97,90;-100,90;-94,90;-93,90;-92,90;-98,90;-99,90;-96,90;-95,90;-100,86;-97,83;-100,84;-100,85;-96,83;-95,83;-100,83;-100,91;-100,93;-100,92;-101,84;-101,91;-102,85;-102,86;-101,93;-101,83;-102,93;-101,85;-102,83;-102,84;-101,86;-101,92;-102,91;-102,92;-97,84;-94,84;-98,83;-93,84;-99,88;-98,87;-99,87;-98,89;-96,84;-95,84;-94,83;-98,91;-99,89;-98,88;-99,92;-99,93;-92,83;-99,86;-98,93;-99,83;-98,92;-99,84;-98,84;-99,91;-93,83;-99,85;-98,85;-98,86;-92,84;-96,86;-97,91;-96,92;-97,87;-97,92;-96,87;-97,89;-97,93;-96,89;-97,86;-96,91;-96,93;-97,85;-96,85;-96,88;-97,88;-95,91;-95,85;-95,86;-95,87;-95,88;-95,89;-95,93;-95,92;-94,91;-93,91;-93,93;-94,93;-93,85;-93,86;-94,85;-94,86;-93,92;-94,92;-92,85;-92,93;-92,92;-92,91;-92,86
-100,63
-98,63
-86,63
-82,63
-81,74
-102,63
-81,83
-81,81
-81,79
-81,72
-97,63
-81,71
-81,65
-88,90
-86,90
-85,90
-84,63
-83,63
-81,87
-81,80
-91,90
-81,90
-85,63
-81,85
-90,90
-99,63
-88,63
-81,82
-81,75
-81,89
-81,78
-89,90
-92,63
-81,70
-94,63
-81,77
-96,63
-83,90
-101,63
-89,63
-81,76
-87,90
-82,90
-81,84
-81,68
-81,67
-84,90
-93,63
-91,63
-90,63
-87,63
-81,63
-81,73
-81,66
